CAMPUS,DNAME,CNAME,GRADE,District Type,School Site Street Address,School Site City,School Site Zip,Below Grade Level,Approach Grade Level,Meet Grade Level,Master Grade Level
57905215,DALLAS ISD,R.L. THORNTON E,5,INDEPENDENT,6011 OLD OX RD,DALLAS,75241-2729,20.0,41.0,19.0,9.0
57905216,DALLAS ISD,EDWARD TITCHE E,5,INDEPENDENT,9560 HIGHFIELD DR,DALLAS,75227-8149,13.0,85.0,47.0,37.0
57905217,DALLAS ISD,WILLIAM B. TRAV,5,INDEPENDENT,3001 MCKINNEY AVE,DALLAS,75204-2414,0.0,88.0,84.0,72.0
57905218,DALLAS ISD,GEORGE W. TRUET,5,INDEPENDENT,1811 GROSS RD,DALLAS,75228-4765,48.0,99.0,53.0,24.0
57905219,DALLAS ISD,ADELLE TURNER E,5,INDEPENDENT,5505 S POLK ST,DALLAS,75232-2062,9.0,40.0,29.0,11.0
57905220,DALLAS ISD,MARK TWAIN LEAD,5,INDEPENDENT,724 GREEN COVE LN,DALLAS,75232-1342,15.0,27.0,12.0,6.0
57905222,DALLAS ISD,URBAN PARK ELEM,5,INDEPENDENT,6901 MILITARY PKWY,DALLAS,75227-3712,12.0,91.0,54.0,32.0
57905224,DALLAS ISD,WALNUT HILL ELE,5,INDEPENDENT,10115 MIDWAY RD,DALLAS,75229-6230,2.0,34.0,21.0,9.0
57905225,DALLAS ISD,DANIEL WEBSTER,5,INDEPENDENT,3815 S FRANKLIN ST,DALLAS,75233-3309,26.0,48.0,28.0,12.0
57905226,DALLAS ISD,MARTIN WEISS EL,5,INDEPENDENT,8601 WILLOUGHBY BLVD,DALLAS,75232-5408,16.0,54.0,25.0,12.0
57905229,DALLAS ISD,WINNETKA ELEM.,5,INDEPENDENT,1151 S EDGEFIELD AVE,DALLAS,75208-7099,10.0,143.0,117.0,88.0
57905230,DALLAS ISD,HARRY C. WITHER,5,INDEPENDENT,3959 NORTHAVEN RD,DALLAS,75229-2758,4.0,43.0,36.0,28.0
57905232,DALLAS ISD,EDNA ROWE ELEM.,5,INDEPENDENT,4918 HOVENKAMP DR,DALLAS,75227-2819,13.0,49.0,31.0,17.0
57905233,DALLAS ISD,NATHAN ADAMS EL,5,INDEPENDENT,12600 WELCH RD,DALLAS,75244-6950,11.0,71.0,50.0,32.0
57905234,DALLAS ISD,HENRY B. GONZAL,5,INDEPENDENT,6610 LAKE JUNE RD,DALLAS,75217,12.0,90.0,67.0,40.0
57905235,DALLAS ISD,BIRDIE ALEXANDE,5,INDEPENDENT,1830 GOLDWOOD DR,DALLAS,75232-3716,6.0,42.0,23.0,15.0
57905236,DALLAS ISD,NANCY J. COCHRA,5,INDEPENDENT,6000 KEENELAND PKWY,DALLAS,75211-6930,19.0,53.0,33.0,18.0
57905237,DALLAS ISD,JOHN W. RUNYON,5,INDEPENDENT,10750 CRADLEROCK DR,DALLAS,75217-3220,11.0,56.0,42.0,24.0
57905239,DALLAS ISD,ARTURO SALAZAR,5,INDEPENDENT,1120 S RAVINIA DR,DALLAS,75211,10.0,88.0,67.0,35.0
57905240,DALLAS ISD,FRANK GUZICK EL,5,INDEPENDENT,5000 BERRIDGE LN,DALLAS,75227,24.0,81.0,45.0,27.0
57905244,DALLAS ISD,SEAGOVILLE NORT,5,INDEPENDENT,1906 SEAGOVILLE RD,DALLAS,75159,41.0,89.0,51.0,24.0
57905247,DALLAS ISD,ADELFA BOTELLO,5,INDEPENDENT,7817 MILITARY PKWY,DALLAS,75227,14.0,71.0,44.0,26.0
57905250,DALLAS ISD,WHITNEY M. YOUN,5,INDEPENDENT,4601 VETERANS DR,DALLAS,75216-7101,12.0,52.0,33.0,18.0
57905260,DALLAS ISD,LORENZO DE ZAVA,5,INDEPENDENT,3214 N WINNETKA AVE,DALLAS,75212-3930,14.0,41.0,25.0,15.0
57905263,DALLAS ISD,J.P. STARKS ELE,5,INDEPENDENT,3033 TIPS BLVD,DALLAS,75216-3563,6.0,58.0,41.0,23.0
57905264,DALLAS ISD,RONALD E. MCNAI,5,INDEPENDENT,3150 BAINBRIDGE DR,DALLAS,75237-3606,22.0,73.0,51.0,31.0
57905265,DALLAS ISD,ELADIO R. MARTI,5,INDEPENDENT,4500 BERNAL DR,DALLAS,75212-2149,23.0,71.0,44.0,24.0
57905266,DALLAS ISD,FREDERICK DOUGL,5,INDEPENDENT,226N JIM MILLER RD,DALLAS,75227-5803,24.0,46.0,15.0,8.0
57905270,DALLAS ISD,EDUARDO MATA EL,5,INDEPENDENT,7420 LA VISTA,DALLAS,75204-9999,17.0,56.0,37.0,19.0
57905271,DALLAS ISD,JULIAN T. SALDI,5,INDEPENDENT,9510 BROCKBANK DR,DALLAS,75220-6801,19.0,72.0,61.0,37.0
57905272,DALLAS ISD,MARIA MORENO EL,5,INDEPENDENT,2115 HAMPTON RD,DALLAS,75224,5.0,41.0,25.0,17.0
57905273,DALLAS ISD,PLEASANT GROVE,5,INDEPENDENT,1614 N ST AUGUSTINE,DALLAS,75217-2654,8.0,60.0,40.0,30.0
57905274,DALLAS ISD,MARY MCLEOD BET,5,INDEPENDENT,1665 DUNCANVILLE RD,DALLAS,75211-6530,20.0,90.0,56.0,30.0
57905275,DALLAS ISD,LOUISE WOLFF KA,5,INDEPENDENT,610 N FRANKLIN,DALLAS,75211-2221,13.0,63.0,43.0,23.0
57905276,DALLAS ISD,GILBERT CUELLAR,5,INDEPENDENT,337 PLEASANT VISTA DR,DALLAS,75217-7959,12.0,89.0,57.0,38.0
57905277,DALLAS ISD,THOMAS TOLBERT,5,INDEPENDENT,4000 BLUE RDG RD,DALLAS,75233-2438,8.0,71.0,42.0,23.0
57905278,DALLAS ISD,LEONIDES GONZAL,5,INDEPENDENT,9990 WEBB CHAPEL RD,DALLAS,75220,15.0,61.0,23.0,11.0
57905279,DALLAS ISD,JERRY R. JUNKIN,5,INDEPENDENT,2808 RUNNING DUKE DR,CARROLLTON,75204,17.0,55.0,24.0,11.0
57905280,DALLAS ISD,ANNE FRANK ELEM,5,INDEPENDENT,5201 CELESTIAL RD,DALLAS,75204-9999,17.0,106.0,77.0,59.0
57905281,DALLAS ISD,CESAR CHAVEZ LE,5,INDEPENDENT,1710 N CARROLL,DALLAS,75204-4402,11.0,104.0,65.0,41.0
57905283,DALLAS ISD,ESPERANZA MEDRA,5,INDEPENDENT,2221 LUCAS DR,DALLAS,75219,6.0,48.0,36.0,23.0
57905284,DALLAS ISD,HIGHLAND MEADOW,5,INDEPENDENT,8939 WHITEWING LN,DALLAS,75238,10.0,79.0,51.0,33.0
57905286,DALLAS ISD,LEE A. MCSHAN J,5,INDEPENDENT,8307 MEADOW,DALLAS,75231,35.0,76.0,49.0,24.0
57905287,DALLAS ISD,CELESTINO MAURI,5,INDEPENDENT,4510 W JEFFERSON BLVD,DALLAS,75211,9.0,72.0,49.0,34.0
57905289,DALLAS ISD,FELIX G. BOTELL,5,INDEPENDENT,225 S MARSALIS,DALLAS,75203,6.0,75.0,57.0,37.0
57905301,DALLAS ISD,WILMER-HUTCHINS,5,INDEPENDENT,7475 J J LEMMON RD,DALLAS,75241,78.0,100.0,56.0,29.0
57905303,DALLAS ISD,THELMA ELIZABET,5,INDEPENDENT,7203 BURTON RD,DALLAS,75217,24.0,84.0,54.0,32.0
57905304,DALLAS ISD,GEORGE HERBERT,5,INDEPENDENT,3939 SPRING VALLEY RD,ADDISON,75001,21.0,80.0,51.0,27.0
57905305,DALLAS ISD,EBBY HALLIDAY E,5,INDEPENDENT,10210 TEAGARDEN,DALLAS,75217,14.0,81.0,53.0,41.0
57905363,DALLAS ISD,SCHOOL FOR THE,5,INDEPENDENT,9610 BRUTON RD,DALLAS,75217,0.0,69.0,69.0,69.0
57905384,DALLAS ISD,SUDIE L. WILLIA,5,INDEPENDENT,4518 POMONA RD,DALLAS,75209,0.0,54.0,53.0,41.0
57906102,DESOTO ISD,RUBY YOUNG ELEM,5,INDEPENDENT,707 N YOUNG BLVD,DESOTO,75115-4443,24.0,66.0,38.0,23.0
57906103,DESOTO ISD,NORTHSIDE ELEM.,5,,,,,27.0,56.0,19.0,8.0
57906106,DESOTO ISD,THE MEADOWS ELE,5,INDEPENDENT,1016 THE MEADOWS PKWY,DESOTO,75115-4210,19.0,48.0,31.0,18.0
57906107,DESOTO ISD,COCKRELL HILL E,5,INDEPENDENT,425 S COCKRELL HILL,DESOTO,75115-5311,25.0,87.0,33.0,18.0
57906108,DESOTO ISD,FRANK D. MOATES,5,INDEPENDENT,1500 HERITAGE DR,GLENN HEIGHTS,75154-8140,5.0,80.0,54.0,31.0
57906109,DESOTO ISD,WOODRIDGE ELEM.,5,INDEPENDENT,1001 WOODRIDGE,DESOTO,75115,41.0,66.0,33.0,15.0
57906112,DESOTO ISD,KATHERINE JOHNS,5,INDEPENDENT,1200 ACADEMY WAY,DESOTO,75115,33.0,71.0,44.0,21.0
57907108,DUNCANVILLE ISD,H. BOB DANIEL S,5,INDEPENDENT,1007 SPRINGWOOD LN,DUNCANVILLE,75137-2910,131.0,188.0,89.0,44.0
57907109,DUNCANVILLE ISD,GLENN C. HARDIN,5,INDEPENDENT,426 E FREEMAN ST,DUNCANVILLE,75116-4815,68.0,236.0,148.0,82.0
57907110,DUNCANVILLE ISD,GRACE R. BRANDE,5,INDEPENDENT,1903 BLUERIDGE DR,DUNCANVILLE,75137-4507,83.0,153.0,71.0,42.0
57909101,GARLAND ISD,BEAVER TECHNOLO,5,INDEPENDENT,3232 MARCH LN,GARLAND,75042-5466,11.0,114.0,96.0,72.0
57909102,GARLAND ISD,BULLOCK ELEM.,5,INDEPENDENT,3909 EDGEWOOD DR,GARLAND,75042-6999,14.0,60.0,39.0,22.0
57909103,GARLAND ISD,CALDWELL ELEM.,5,INDEPENDENT,3400 SATURN RD,GARLAND,75041-4398,14.0,31.0,18.0,12.0
57909105,GARLAND ISD,CENTERVILLE ELE,5,INDEPENDENT,600 KEEN DR,GARLAND,75041-3799,11.0,18.0,7.0,3.0
57909107,GARLAND ISD,COOPER ELEM.,5,INDEPENDENT,1200 KINGSBRIDGE DR,GARLAND,75040-3340,22.0,85.0,39.0,23.0
57909108,GARLAND ISD,DAUGHERTY ELEM.,5,INDEPENDENT,501 W MILLER RD,GARLAND,75041-1806,8.0,69.0,48.0,30.0
57909109,GARLAND ISD,FREEMAN ELEM.,5,INDEPENDENT,1220 WALNUT ST,GARLAND,75040-5698,15.0,33.0,16.0,7.0
57909110,GARLAND ISD,HANDLEY ELEM.,5,INDEPENDENT,3725 BROADWAY BLVD,GARLAND,75043-1612,19.0,40.0,28.0,15.0
57909111,GARLAND ISD,KIMBERLIN ACAD.,5,INDEPENDENT,1520 CUMBERLAND DR,GARLAND,75040-8099,2.0,96.0,89.0,76.0
57909112,GARLAND ISD,PARK CREST ELEM,5,INDEPENDENT,2232 PARK CREST DR,GARLAND,75041-1499,11.0,33.0,19.0,8.0
57909113,GARLAND ISD,SOUTHGATE ELEM.,5,INDEPENDENT,1115 MAYFIELD AVE,GARLAND,75041-5099,17.0,23.0,10.0,4.0
57909115,GARLAND ISD,WATSON TECHNOLO,5,INDEPENDENT,2601 DAIRY RD,GARLAND,75041-3599,9.0,105.0,80.0,53.0
57909116,GARLAND ISD,WEAVER ELEM.,5,INDEPENDENT,805 PLEASANT VLY RD,GARLAND,75040-4834,19.0,58.0,33.0,23.0
57909117,GARLAND ISD,WILLIAMS ELEM.,5,INDEPENDENT,1821 OLD GATE LN,GARLAND,75042-8399,13.0,28.0,16.0,9.0
57909119,GARLAND ISD,BRADFIELD ELEM.,5,INDEPENDENT,3817 BUCKNELL DR,GARLAND,75042-5306,9.0,33.0,19.0,11.0
57909120,GARLAND ISD,SHOREHAVEN ELEM,5,INDEPENDENT,600 SHOREHAVEN DR,GARLAND,75040-5777,7.0,35.0,19.0,12.0
57909121,GARLAND ISD,MONTCLAIR ELEM.,5,INDEPENDENT,5200 BROADMOOR DR,GARLAND,75043-5249,23.0,64.0,38.0,15.0
57909122,GARLAND ISD,WALNUT GLEN ACA,5,INDEPENDENT,3101 EDGEWOOD DR,GARLAND,75042-6345,2.0,87.0,80.0,74.0
57909123,GARLAND ISD,GOLDEN MEADOWS,5,INDEPENDENT,1726 TRAVIS ST,GARLAND,75042-5067,14.0,44.0,21.0,15.0
57909124,GARLAND ISD,HEATHER GLEN EL,5,INDEPENDENT,5119 HEATHER GLEN DR,GARLAND,75043-3017,11.0,78.0,42.0,18.0
57909125,GARLAND ISD,HILLSIDE ACAD.,5,INDEPENDENT,2014 DAIRY RD,GARLAND,75041-2099,2.0,96.0,85.0,70.0
57909126,GARLAND ISD,DAVIS ELEM.,5,INDEPENDENT,1621 MCCALLUM DR,GARLAND,75042-4837,19.0,79.0,45.0,19.0
57909127,GARLAND ISD,ROACH ELEM.,5,INDEPENDENT,1811 MAYFIELD AVE,GARLAND,75041-5296,1.0,39.0,29.0,25.0
57909128,GARLAND ISD,ETHRIDGE ELEM.,5,INDEPENDENT,2301 SAM HOUSTON DR,GARLAND,75044-7599,18.0,115.0,79.0,54.0
57909129,GARLAND ISD,CLASSICAL CENTE,5,INDEPENDENT,126 CREEKVIEW DR,GARLAND,75043-3501,5.0,109.0,88.0,56.0
57909132,GARLAND ISD,CLUB HILL ELEM.,5,INDEPENDENT,1330 COLONEL DR,GARLAND,75043-1304,17.0,48.0,29.0,15.0
57909133,GARLAND ISD,HICKMAN ELEM.,5,INDEPENDENT,3114 PINEWOOD DR,GARLAND,75044-5851,10.0,62.0,33.0,19.0
57909134,GARLAND ISD,NORTHLAKE ELEM.,5,INDEPENDENT,1626 BOSQUE DR,GARLAND,75040-5306,2.0,107.0,62.0,30.0
57909136,GARLAND ISD,TOLER ELEM.,5,INDEPENDENT,3520 GUTHRIE RD,GARLAND,75043-6220,25.0,64.0,35.0,14.0
57909137,GARLAND ISD,ROWLETT ELEM.,5,INDEPENDENT,3315 CARLA DR,ROWLETT,75088-5736,6.0,89.0,54.0,36.0
57909138,GARLAND ISD,SPRING CREEK EL,5,INDEPENDENT,1510 SPRING CREEK DR,GARLAND,75040-8533,13.0,90.0,73.0,50.0
57909139,GARLAND ISD,LUNA ELEM.,5,INDEPENDENT,1050 LOCHNESS RD,GARLAND,75044-3422,5.0,31.0,26.0,21.0
57909140,GARLAND ISD,BACK ELEM.,5,INDEPENDENT,7300 BLUEBONNET DR,ROWLETT,75088-6700,4.0,55.0,39.0,24.0
57909141,GARLAND ISD,SHUGART ELEM.,5,INDEPENDENT,4726 ROSEHILL RD,GARLAND,75043-1711,19.0,75.0,48.0,24.0
57909142,GARLAND ISD,HERFURTH ELEM.,5,INDEPENDENT,7500 MILLER RD,ROWLETT,75088-6603,3.0,31.0,17.0,12.0
57909143,GARLAND ISD,ABBETT ELEM.,5,INDEPENDENT,730 W MUIRFIELD RD,GARLAND,75044-4102,17.0,108.0,77.0,47.0
57909144,GARLAND ISD,KEELEY ELEM.,5,INDEPENDENT,8700 LIBERTY GROVE RD,ROWLETT,75089-2372,4.0,107.0,82.0,57.0
57909145,GARLAND ISD,ROBERT B. SEWEL,5,INDEPENDENT,4400 HUDSON PARK,SACHSE,75048-4630,10.0,103.0,79.0,56.0
57909146,GARLAND ISD,KATHERINE STEPH,5,INDEPENDENT,3700 CHEYENNE DR,ROWLETT,75088-5122,15.0,95.0,51.0,28.0
57909147,GARLAND ISD,VERNAL LISTER E,5,INDEPENDENT,3131 MARS DR,GARLAND,75040-3852,7.0,61.0,39.0,31.0
57909148,GARLAND ISD,NORMA DORSEY EL,5,INDEPENDENT,6200 DEXHAM RD,ROWLETT,75089-3245,13.0,89.0,63.0,35.0
57909154,GARLAND ISD,STEADHAM ELEM.,5,INDEPENDENT,6200 DANRIDGE RD,ROWLETT,75089,13.0,64.0,42.0,16.0
57909155,GARLAND ISD,JOHN W. ARMSTRO,5,INDEPENDENT,4750 BEN DAVIS RD,SACHSE,75048-4241,6.0,125.0,98.0,72.0
57909156,GARLAND ISD,NITA PEARSON EL,5,INDEPENDENT,5201 NITA PEARSON DR,ROWLETT,75088-8911,15.0,82.0,62.0,40.0
57909157,GARLAND ISD,GLEN COUCH ELEM,5,INDEPENDENT,4349 WATERHOUSE DR,GARLAND,75043-2061,23.0,67.0,36.0,20.0
57909158,GARLAND ISD,LIBERTY GROVE E,5,INDEPENDENT,10201 LIBERTY GROVE,ROWLETT,75089-2391,31.0,73.0,44.0,19.0
57909159,GARLAND ISD,GEORGE WASHINGT,5,INDEPENDENT,2200 WYNN JOYCE,GARLAND,75043-1439,22.0,67.0,40.0,24.0
57910101,GRAND PRAIRIE I,STEPHEN F. AUST,5,INDEPENDENT,815 N W 7TH ST,GRAND PRAIRIE,75050-3498,8.0,78.0,63.0,36.0
57910102,GRAND PRAIRIE I,JAMES BOWIE FIN,5,INDEPENDENT,425 ALICE DR,GRAND PRAIRIE,75051-1898,22.0,74.0,39.0,29.0
57910104,GRAND PRAIRIE I,DAVID DANIELS E,5,INDEPENDENT,801 S W 19TH ST,GRAND PRAIRIE,75051,19.0,67.0,44.0,31.0
57910106,GRAND PRAIRIE I,FLORENCE HILL E,5,INDEPENDENT,4213 ROBINSON RD,GRAND PRAIRIE,75052-1408,14.0,76.0,43.0,31.0
57910109,GRAND PRAIRIE I,ELLEN OCHOA STE,5,INDEPENDENT,2030 PROCTOR DR,GRAND PRAIRIE,75051-3797,30.0,101.0,54.0,32.0
57910113,GRAND PRAIRIE I,DWIGHT D. EISEN,5,INDEPENDENT,2102 N CARRIER PKWY,GRAND PRAIRIE,75050-1804,17.0,115.0,85.0,56.0
57910118,GRAND PRAIRIE I,SAM RAYBURN ELE,5,INDEPENDENT,2800 REFORMA DR,GRAND PRAIRIE,75052,33.0,81.0,48.0,32.0
57910119,GRAND PRAIRIE I,LORENZO DE ZAVA,5,INDEPENDENT,3410 KIRBY CREEK DR,GRAND PRAIRIE,75052,22.0,120.0,77.0,51.0
57910120,GRAND PRAIRIE I,SUZANNA DICKINS,5,INDEPENDENT,1902 PALMER TRL,GRAND PRAIRIE,75052-1999,13.0,50.0,24.0,15.0
57910121,GRAND PRAIRIE I,GARNER FINE ART,5,INDEPENDENT,145 POLO RD,GRAND PRAIRIE,75052-9998,13.0,120.0,84.0,52.0
57910122,GRAND PRAIRIE I,GLOBAL LEADERSH,5,INDEPENDENT,511 E SPRINGDALE,GRAND PRAIRIE,75052-5253,16.0,77.0,50.0,28.0
57910123,GRAND PRAIRIE I,COLIN POWELL EL,5,INDEPENDENT,5009 S CARRIER PKWY,GRAND PRAIRIE,75052-2439,5.0,88.0,77.0,59.0
57910124,GRAND PRAIRIE I,HECTOR P. GARCI,5,INDEPENDENT,2444 GRAHAM,GRAND PRAIRIE,75050,24.0,58.0,37.0,20.0
57910125,GRAND PRAIRIE I,SALLYE R. MOORE,5,INDEPENDENT,3150 WATERWOOD DR,GRAND PRAIRIE,75052,17.0,60.0,34.0,18.0
57910126,GRAND PRAIRIE I,ERVIN C. WHITT,5,INDEPENDENT,3320 S EDELWEISS,GRAND PRAIRIE,75052,13.0,87.0,57.0,44.0
57910128,GRAND PRAIRIE I,JUAN N. SEGUIN,5,INDEPENDENT,1450 S E FOURTH ST,GRAND PRAIRIE,75051,15.0,50.0,28.0,14.0
57910129,GRAND PRAIRIE I,THURGOOD MARSHA,5,INDEPENDENT,1160 WARRIOR TRL,GRAND PRAIRIE,75052,9.0,97.0,57.0,39.0
57910130,GRAND PRAIRIE I,MIKE MOSELEY EL,5,INDEPENDENT,1851 CAMP WISDOM RD,GRAND PRAIRIE,75052,23.0,73.0,50.0,34.0
57910131,GRAND PRAIRIE I,HOBBS WILLIAMS,5,INDEPENDENT,1635 S E 14TH ST,GRAND PRAIRIE,75051,0.0,112.0,97.0,76.0
57910132,GRAND PRAIRIE I,ROBERT E. LEE E,5,INDEPENDENT,401 E GRAND PRAIRIE RD,GRAND PRAIRIE,75051,17.0,74.0,46.0,26.0
57910135,GRAND PRAIRIE I,SCHOOL FOR THE,5,INDEPENDENT,2990 S HWY 161,GRAND PRAIRIE,75052,0.0,25.0,24.0,19.0
57910136,GRAND PRAIRIE I,UPLIFT LEE,5,INDEPENDENT,401 E GRAND PRAIRIE RD,GRAND PRAIRIE,75051,7.0,33.0,21.0,16.0
57910137,GRAND PRAIRIE I,WILLIAM B. TRAV,5,INDEPENDENT,525 NE 15TH ST,GRAND PRAIRIE,75050,15.0,93.0,65.0,37.0
57911105,HIGHLAND PARK I,MCCULLOCH INTER,5,INDEPENDENT,3555 GRANADA AVE,DALLAS,75205-2235,10.0,504.0,448.0,363.0
57912101,IRVING ISD,BARTON ELEM.,5,INDEPENDENT,2931 CONFLANS RD,IRVING,75061,19.0,96.0,67.0,38.0
57912102,IRVING ISD,BROWN ELEM.,5,INDEPENDENT,2501 W 10TH ST,IRVING,75060-3599,25.0,93.0,61.0,35.0
57912103,IRVING ISD,BRITAIN ELEM.,5,INDEPENDENT,631 EDMONDSON DR,IRVING,75060-5499,31.0,94.0,55.0,32.0
57912105,IRVING ISD,GOOD ELEM.,5,INDEPENDENT,1200 E UNION BOWER RD,IRVING,75061-5499,29.0,98.0,56.0,31.0
57912106,IRVING ISD,HALEY J. ELEM.,5,INDEPENDENT,1100 SCHULZE DR,IRVING,75060-2698,18.0,119.0,70.0,43.0
57912107,IRVING ISD,HALEY T. ELEM.,5,INDEPENDENT,3601 CHEYENNE ST,IRVING,75062-8499,24.0,106.0,84.0,53.0
57912108,IRVING ISD,JOHNSTON ELEM.,5,INDEPENDENT,2801 RUTGERS DR,IRVING,75062-7199,32.0,105.0,72.0,45.0
57912109,IRVING ISD,KEYES ELEM.,5,INDEPENDENT,1501 N BRITAIN RD,IRVING,75061-2693,19.0,93.0,60.0,40.0
57912111,IRVING ISD,LEE ELEM.,5,INDEPENDENT,1600 CARLISLE ST,IRVING,75062-3599,32.0,69.0,48.0,26.0
57912112,IRVING ISD,LIVELY ELEM.,5,INDEPENDENT,1800 E PLYMOUTH DR,IRVING,75061-1999,25.0,112.0,62.0,31.0
57912113,IRVING ISD,FARINE ELEM.,5,INDEPENDENT,615 METKER RD,IRVING,75062-4498,18.0,114.0,74.0,49.0
57912114,IRVING ISD,SCHULZE ELEM.,5,INDEPENDENT,1200 S IRVING HEIGHTS,IRVING,75060-6306,12.0,93.0,63.0,39.0
57912116,IRVING ISD,BRANDENBURG ELE,5,INDEPENDENT,2800 HILLCREST DR,IRVING,75062-6902,26.0,115.0,90.0,61.0
57912118,IRVING ISD,ELLIOTT ELEM.,5,INDEPENDENT,1900 S STORY RD,IRVING,75060-6599,15.0,93.0,55.0,39.0
57912119,IRVING ISD,HANES ELEM.,5,INDEPENDENT,2730 CHEYENNE ST,IRVING,75062-7297,27.0,97.0,70.0,47.0
57912120,IRVING ISD,TOWNLEY ELEM.,5,INDEPENDENT,1030 W VILBIG ST,IRVING,75060-5869,25.0,97.0,56.0,40.0
57912121,IRVING ISD,DAVIS ELEM.,5,INDEPENDENT,310 DAVIS AVE,IRVING,75061-6219,34.0,103.0,67.0,40.0
57912122,IRVING ISD,GILBERT F.M. EL,5,INDEPENDENT,1501 E PIONEER DR,IRVING,75061-7848,26.0,120.0,91.0,60.0
57912123,IRVING ISD,JACKIE MAE TOWN,5,INDEPENDENT,3700 PLEASANT RUN,IRVING,75038,32.0,106.0,63.0,30.0
57912124,IRVING ISD,JOHN W. AND MAR,5,INDEPENDENT,3100 CROSS TIMBERS,IRVING,75060,22.0,103.0,65.0,40.0
57913101,LANCASTER ISD,PLEASANT RUN EL,5,INDEPENDENT,427 W PLEASANT RUN RD,LANCASTER,75134-1597,24.0,75.0,51.0,34.0
57913102,LANCASTER ISD,HOUSTON ELEM.,5,INDEPENDENT,2929 MARQUIS ST,LANCASTER,75134-1602,14.0,94.0,67.0,38.0
57913103,LANCASTER ISD,WEST MAIN ELEM.,5,INDEPENDENT,531 W MAIN ST,LANCASTER,75146-3198,9.0,109.0,70.0,43.0
57913106,LANCASTER ISD,ROSA PARKS-MILL,5,INDEPENDENT,630 MILLBROOK DR,LANCASTER,75146-0400,9.0,65.0,33.0,16.0
57913107,LANCASTER ISD,ROLLING HILLS E,5,INDEPENDENT,450 ROLLING HILLS PL,LANCASTER,75146-1038,21.0,50.0,30.0,19.0
57913109,LANCASTER ISD,BELT LINE ELEM.,5,INDEPENDENT,1355 W BELT LINE RD,LANCASTER,75146,8.0,41.0,34.0,16.0
57914101,MESQUITE ISD,BLACK ELEM.,5,INDEPENDENT,328 E NEWSOM ST,MESQUITE,75149-5022,31.0,74.0,34.0,23.0
57914102,MESQUITE ISD,FLORENCE ELEM.,5,INDEPENDENT,4621 GLENEAGLE ST,MESQUITE,75150-1966,9.0,77.0,53.0,36.0
57914103,MESQUITE ISD,GALLOWAY ELEM.,5,INDEPENDENT,200 CLARY DR,MESQUITE,75149-3010,23.0,80.0,56.0,33.0
57914104,MESQUITE ISD,HANBY ELEM.,5,INDEPENDENT,480 GROSS RD,MESQUITE,75149-3212,18.0,94.0,57.0,39.0
57914105,MESQUITE ISD,HODGES ELEM.,5,INDEPENDENT,14401 SPRING OAKS,BALCH SPRINGS,75180-3540,21.0,81.0,48.0,27.0
57914106,MESQUITE ISD,MCWHORTER ELEM.,5,INDEPENDENT,1700 HICKORY TREE RD,MESQUITE,75149-6338,40.0,71.0,36.0,26.0
57914107,MESQUITE ISD,MOTLEY ELEM.,5,INDEPENDENT,3719 MOON DR,MESQUITE,75150-2167,2.0,45.0,37.0,25.0
57914108,MESQUITE ISD,RANGE ELEM.,5,INDEPENDENT,2600 BAMBOO ST,MESQUITE,75150-3230,29.0,76.0,50.0,25.0
57914109,MESQUITE ISD,RUGEL ELEM.,5,INDEPENDENT,2701 SYBIL DR,MESQUITE,75149-1999,16.0,46.0,27.0,15.0
57914110,MESQUITE ISD,RUTHERFORD ELEM,5,INDEPENDENT,1607 SIERRA DR,MESQUITE,75149-6135,24.0,98.0,64.0,38.0
57914111,MESQUITE ISD,SHANDS ELEM.,5,INDEPENDENT,4836 SHANDS DR,MESQUITE,75150-1152,15.0,99.0,69.0,55.0
57914112,MESQUITE ISD,TISINGER ELEM.,5,INDEPENDENT,1701 HILLCREST ST,MESQUITE,75149-2240,38.0,106.0,71.0,38.0
57914113,MESQUITE ISD,TOSCH ELEM.,5,INDEPENDENT,2424 LARCHMONT DR,MESQUITE,75150-5233,27.0,82.0,45.0,28.0
57914114,MESQUITE ISD,SEABOURN ELEM.,5,INDEPENDENT,2300 SANDY LN,MESQUITE,75149-3798,21.0,62.0,31.0,14.0
57914115,MESQUITE ISD,LAWRENCE ELEM.,5,INDEPENDENT,3811 RICHMAN DR,MESQUITE,75150-2287,7.0,44.0,26.0,18.0
57914116,MESQUITE ISD,FLOYD ELEM.,5,INDEPENDENT,3025 HICKORY TREE RD,BALCH SPRINGS,75180-1623,34.0,73.0,33.0,17.0
57914117,MESQUITE ISD,PORTER ELEM.,5,INDEPENDENT,517 VIA AVENIDA,MESQUITE,75150-3176,7.0,61.0,45.0,25.0
57914118,MESQUITE ISD,MCKENZIE ELEM.,5,INDEPENDENT,3535 STEPHENS GREEN,MESQUITE,75150-3566,9.0,66.0,50.0,27.0
57914119,MESQUITE ISD,BEASLEY ELEM.,5,INDEPENDENT,919 GREEN CANYON DR,MESQUITE,75150-4346,21.0,46.0,26.0,15.0
57914120,MESQUITE ISD,PRICE ELEM.,5,INDEPENDENT,630 STROUD LN,GARLAND,75043-1307,19.0,49.0,24.0,13.0
57914121,MESQUITE ISD,SHAW ELEM.,5,INDEPENDENT,707 PURPLE SAGE TRL,MESQUITE,75150,15.0,74.0,48.0,26.0
